회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,기타정보
(주)시티캅,[(주)시티캅 채용] 정규직/상황실 관제 모집 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450643&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,부산 남구,경력무관,학력무관,정규직,~ 12/22(일),"경비원, 경비지도사, 보안요원, 방범, 고객응대 외                    수정일 24/11/22",성과급/상여금
자이씨앤에이(주),"[상시채용] 정규직 경력사원 모집(플랜트-사업관리, 설계, 시공)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46791675&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,전국,경력4년↑,대졸↑,정규직,~ 07/01(화),"원가관리, 용접원, 공정설계, 기계설계, 전기설계 외                    수정일 23/10/18",교육 지원 TOP100
(주)아이비엠에스,SI / SM / 솔루션 IT 개발자 채용 각 분야모집 (아이비엠에스),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49221800&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 마포구,신입·경력,초대졸↑,정규직,~ 12/17(화),"백엔드/서버개발, 유지보수, SE(시스템엔지니어), SI개발, PL(프로젝트리더) 외                    등록일 24/10/18",인기있는
(주)아인에스,상시인재채용 ] 연구진단팀 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49360781&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,부산 강서구,경력무관,학력무관,정규직·계약직,채용시,"보건관리자, 위생사, 컨설팅 수정일 24/11/08",연봉상승률 10% 이상
(주)제이투케이글로벌,무역사무원(포워딩) 신입 & 경력직 채용 공고(상시모집),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49298335&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,부산 해운대구,경력무관,학력무관,정규직,~ 12/29(일),"포워더, 철도운송, 관세사, 무역경리, 무역사무원 외                    등록일 24/10/30",운전·운송·배송 스크랩 TOP100
(주)비엠정밀,[주5일/양산] 생산 제조 (주.야간) 경력무관 채용(정규직모집),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49343996&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,경남 양산시,경력무관,학력무관,정규직,~ 12/06(금),"제조가공, 자동화라인, NC/CNC밀링, NC/CNC선반, 2교대 외                    등록일 24/11/06",연봉상승률 10% 이상
(주)라인,경력무관 채용-생산직원 모집(씽크도어 및 맞춤가구 도어 제조),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472079&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,광주 광산구,경력무관,학력무관,정규직,~ 11/30(토),"기계조작원, 제조가공, 주간근무, 생산, 생산기술 외                    수정일 24/11/26",점심지원
관세법인부일,관세법인 부일 (본사)수출입 통관업무 채용 (추가모집),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463815&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 강서구,경력무관,학력무관,정규직,~ 12/25(수),"관세법인, 관세사, 수출입, 통관, 관세사 외                    등록일 24/11/25",
한국중소기업비즈니스센터,[특별 채용]2024(5)년 정책자금 컨설팅 영업팀 / 영업부 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49344997&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,대전 서구,경력무관,고졸↑,정규직,채용시,"영업, 영업관리, 거래처관리, 영업직, 고객관리 외                    수정일 24/11/19",영업·판매·무역 스크랩 급상승
(재)행복날개수련원,재단법인 행복날개수련원(SK비영리법인) 채용 연계형 인턴 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476551&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 중구,신입,대졸↑,인턴직,~ 12/15(일),"스포츠강사, 요가, 필라테스, 헬스, 스포츠센터 수정일 24/11/27",연봉상승률 10% 이상
