회사명,채용중,기업규모,산업분야,존속기간,CEO,세부정보
한미반도체(주),1,중견기업,반도체 제조용 기계 제조업,45년차,곽동신,"정시출근, 프리한 복장 가능, 커리어 발전 기회, 평균 연령 30대, 평균근속 2~5년"
(주)더블유컨셉코리아,,대기업,전자상거래 소매업,17년차,이주철,"프리한 복장 가능, 성과급 연 1회, 자유로운 연차, 간단한 식사회식, 평균 연령 30대"
(주)포스코이앤씨,4,"대기업,1000대기업",종합 건설업,43년차,전중선,"프리한 복장 가능, 정시출근, 커리어 발전 기회, 평균 연령 40대 이상, 일하면서 성장"
현대오토에버(주),44,"대기업,1000대기업",응용 소프트웨어 개발 및 공급업,25년차,김윤구,"프리한 복장 가능, 자유로운 연차, 평균 연령 30대, 성과급 연 1회, 자유로운 출근"
신라에이치엠(주),5,대기업,호텔업,11년차,박상오,"정시출근, 평균근속 2년 미만, 평균 연령 20대, 필요할 때 회의, 커리어 발전 기회"
현대트랜시스(주),3,"대기업,1000대기업",그 외 자동차용 신품 부품 제조업,26년차,이상흔,"프리한 복장 가능, 커리어 발전 기회, 자유로운 출근, 자유로운 연차, 성과급 연 1회"
(주)신세계푸드,,"대기업,1000대기업",기관 구내식당업,46년차,송현석,"필요할 때 회의, 프리한 복장 가능, 정시출근, 워라밸 Good, 커리어 발전 기회"
(주)씨티알,7,"중견기업,1000대기업",그 외 자동차용 신품 부품 제조업,54년차,윤용호/이호영,"자유로운 연차, 자유로운 출근, 프리한 복장 가능, 성과급 연 1회, 연차 모두 소진"
(주)포스코퓨처엠,,"대기업,1000대기업",축전지 제조업,54년차,유병옥,"정시출근, 자유로운 연차, 프리한 복장 가능, 자기개발비 지원, 일하면서 성장"
(주)넥슨코리아,,"대기업,1000대기업",유선 온라인 게임 소프트웨어 개발 및 공급업,20년차,강대현/김정욱,"자유로운 출근, 커리어 발전 기회, 워라밸 Good, 평균 연령 30대, 프리한 복장 가능"
(주)에프에스티,3,,전자감지장치 제조업,38년차,장경빈,"정시출근, 프리한 복장 가능, 성과급 연 1회, 자유로운 연차, 평균 연령 30대"
(주)케이티앤지,,"대기업,1000대기업",담배 제조업,28년차,방경만,"평균 연령 40대 이상, 자유로운 연차, 정시출근, 연차 모두 소진, 자유로운 육아휴직"
(주)한화,19,"대기업,1000대기업",화약 및 불꽃제품 제조업,73년차,김동관/김승모/양기원,"프리한 복장 가능, 성과급 연 1회, 평균 연령 40대 이상, 정시출근, 자유로운 연차"
케이엘에이텐코코리아(주),,,기타 산업용 기계 및 장비 도매업,32년차,김양형/브렌더글라스히긴스,"프리한 복장 가능, 평균 연령 30대, 성과급 연 1회, 커리어 발전 기회, 자기개발비 지원"
(주)한독,1,중견기업,완제 의약품 제조업,67년차,김영진/백진기,"커리어 발전 기회, 자유로운 연차, 간단한 식사회식, 자유로운 출근, 프리한 복장 가능"
(주)진에어,,"대기업,1000대기업",항공 여객 운송업,17년차,박병률,"정시출근, 평균 연령 30대, 프리한 복장 가능, 평균근속 2~5년, 필요할 때 회의"
도레이첨단소재(주),,"대기업,1000대기업",플라스틱 필름 제조업,26년차,김영섭,"평균 연령 40대 이상, 평균근속 10년 이상, 정시출근, 성과급 연 1회, 워라밸 Good"
지에스칼텍스(주),,"대기업,1000대기업",원유 정제처리업,58년차,허세홍/김성민,"평균 연령 40대 이상, 자유로운 출근, 연차 모두 소진, 프리한 복장 가능, 커리어 발전 기회"
히타치하이테크코리아(주),,중소기업,상품 종합 도매업,20년차,마츠오카에이지,"프리한 복장 가능, 평균 연령 30대, 성과급 연 1회, 정기적 회의 진행, 연차 모두 소진"
에드워드코리아(주),4,,그 외 기타 전자부품 제조업,33년차,윤제이슨재홍,"프리한 복장 가능, 평균 연령 30대, 성과급 연 1회, 자유로운 연차, 정시출근"
에이치디현대오일뱅크(주),,"대기업,1000대기업",원유 정제처리업,61년차,주영민,"정시출근, 성과급 연 1회, 평균 연령 40대 이상, 프리한 복장 가능, 필요할 때 회의"
엔에이치엔(주),29,대기업,유선 온라인 게임 소프트웨어 개발 및 공급업,12년차,정우진,"프리한 복장 가능, 평균 연령 30대, 자유로운 출근, 자유로운 연차, 워라밸 Good"
(주)세스코,81,"중견기업,1000대기업","소독, 구충 및 방제 서비스업",49년차,전찬혁,"평균 연령 30대, 정시출근, 워라밸 Good, 평균근속 2~5년, 자유로운 연차"
(주)LF,,"중견기업,1000대기업",남자용 겉옷 제조업,19년차,오규식/김상균,"프리한 복장 가능, 평균 연령 30대, 정시출근, 평균근속 2~5년, 커리어 발전 기회"
(주)메디톡스,,중견기업,생물학적 제제 제조업,25년차,정현호,"프리한 복장 가능, 평균 연령 30대, 평균근속 2~5년, 정시출근, 자유로운 연차"
(주)마이다스아이티,,,응용 소프트웨어 개발 및 공급업,25년차,정승식/정선태,"커리어 발전 기회, 프리한 복장 가능, 평균 연령 30대, 정시출근, 평균근속 2~5년"
